Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,CV_F1_5Fold
Gradient Boosting,0.9689863842662633,0.6594538897475528,0.5348011440289245,0.5790583910646119,0.7848298257710425,0.5199549856236658
Random Forest,0.9712556732223904,0.6524502274027891,0.4804273919378339,0.5251394974347452,0.8171170424948855,0.46060026291236705
XGBoost,0.9659606656580938,0.5661850682077817,0.4898350511755077,0.514810384017227,0.8252183745949603,0.5026991343361182
Logistic Regression,0.970499243570348,0.5183853724872427,0.4582051697156117,0.4813326014895174,0.8113552364963287,0.47893909792391814
Naive Bayes,0.8925869894099848,0.42086864890401326,0.6207921860665911,0.4556869940847905,0.8043642310512462,0.4966180122059424
Decision Tree,0.9659606656580938,0.5148626935436752,0.42293993848146344,0.4516839899362912,0.6277111231994504,0.46461766017452194
KNN (k=5),0.9682299546142209,0.5317732115677322,0.3900221250876909,0.41802218885552217,0.7031895534619732,0.4214090058283924
SVM (RBF),0.9689863842662633,0.5091252715015092,0.39028294929217705,0.41603526376729166,0.7878027600331143,0.4157567700894226
KNN (k=11),0.9697428139183056,0.6565503287809813,0.37931034482758624,0.40900530731039203,0.7451844251460084,0.36847449708269425
